,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
61,ENERGYDEV,INFRA-POWER,MiniCap,31.4,32.35,31.05,-4.35,-0.55,0.61,-0.65,NO
62,VADILALIND,FMCG-FOOD,MiniCap,957.9,968.7,950.95,20.54,-9.62,-4.32,32.11,NO
63,JUSTDIAL,INFRA-TELECOM,SmallCap,515.75,518.95,507.5,19.96,3.81,4.98,5.6,YES
64,SBIN,BANKS-PSU,LargeCap,294.45,299.0,294.45,15.95,1.61,1.62,1.35,NO
65,JSLHISAR,METALS AND MINING,SmallCap,141.7,147.45,141.0,1.1,-0.05,0.51,2.1,YES
66,MUKANDENGG,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,62.0,63.05,61.6,-5.31,-3.35,0.36,0.26,YES
67,NFL,FERTILISERS,SmallCap,86.95,89.4,87.0,4.02,2.53,0.64,-0.01,YES
68,TALWALKARS,INFRA-MACHINERY EQUIPMENT,MiniCap,272.8,284.95,272.0,19.03,1.89,6.99,1.93,YES
69,HEIDELBERG,CEMENTS,SmallCap,133.9,141.4,134.3,1.71,0.39,1.07,1.16,NO
70,APOLLOTYRE,AUTO-TYRES AND TUBES,MidCap,231.65,235.4,230.35,21.49,5.48,4.91,6.18,YES
71,RAMCOIND,REALTY-HOUSEHOLD,SmallCap,230.3,247.9,230.0,6.67,0.29,2.66,3.49,YES
72,ITC,FMCG,LargeCap,273.95,279.15,274.0,12.28,2.06,1.96,1.96,YES
73,MAANALU,METALS AND MINING,MiniCap,122.1,123.6,119.6,1.78,0.3,0.86,1.48,YES
74,TATAMETALI,METALS AND MINING,SmallCap,663.75,673.8,661.0,44.81,4.61,10.18,8.87,YES
75,DAAWAT,FMCG-FOOD,SmallCap,65.55,66.45,65.15,27.14,6.31,2.59,10.81,YES
76,DBREALTY,REALTY,SmallCap,49.4,50.3,48.1,-1.02,-0.91,-0.04,-0.36,NO
77,POWERMECH,IT,MiniCap,609.05,623.35,600.1,54.41,14.71,14.26,11.32,YES
78,ORICONENT,FMCG-PACKAGING,MiniCap,58.9,61.0,58.75,1.19,0.3,-0.15,0.72,YES
79,DBL,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MidCap,468.8,473.7,467.75,16.79,3.69,0,4.23,YES
80,SNOWMAN,TRANSPORTATION LOGISTICS,SmallCap,60.55,61.7,60.5,1.23,0.27,0.45,0.11,NO
81,UGARSUGAR,INFRA-MACHINERY EQUIPMENT,MiniCap,33.1,33.55,32.9,1,1.11,5.48,0.1,YES
82,TAJGVK,ENTERTAINMENT-HOTELS AND LEISURE,SmallCap,165.05,170.95,164.1,0,0.55,0,0.39,NO
83,ZYDUSWELL,FMCG,SmallCap,866.1,869.95,853.15,26.03,6.97,6.61,6.01,YES
84,ALKYLAMINE,CHEMICALS,MiniCap,456.5,478.45,451.6,24.53,5.8,7.54,5.37,YES
85,ADLABS,ENTERTAINMENT-HOTELS AND LEISURE,MiniCap,83.8,90.2,84.15,-12.92,-3.15,-2,-2.41,NO
